City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Hobart,AU,-42.8794,147.3294,60.12,85,20,1.99,few clouds
69,Leningradskiy,RU,69.3833,178.4167,-23.08,98,28,6.33,scattered clouds
70,Benjamin Constant,BR,-4.3831,-70.0311,82.53,78,75,3.44,light rain
71,Margate,GB,51.3813,1.3862,46.11,68,86,13.0,overcast clouds
72,Labuhan,ID,-6.8844,112.2051,77.36,89,100,5.91,overcast clouds
73,Torbay,CA,47.6666,-52.7314,15.58,77,75,14.97,broken clouds
74,Krasnoselkup,RU,65.7,82.4667,-20.58,100,30,7.92,scattered clouds
75,Puerto Ayora,EC,-0.7393,-90.3518,85.96,86,49,8.01,scattered clouds
76,Srikakulam,IN,18.3,83.9,67.39,72,88,3.31,overcast clouds
77,Antofagasta,CL,-23.65,-70.4,74.21,59,0,7.09,clear sky
78,Ponta Do Sol,PT,32.6667,-17.1,63.72,66,9,11.61,clear sky
79,Luderitz,NA,-26.6481,15.1594,68.81,73,30,3.4,scattered clouds
80,Mataura,NZ,-46.1927,168.8643,55.47,61,3,1.12,clear sky
81,Port Alfred,ZA,-33.5906,26.891,74.7,82,82,14.05,broken clouds
82,Dharchula,IN,29.85,80.5333,48.31,47,84,4.59,broken clouds
83,Marsh Harbour,BS,26.5412,-77.0636,75.06,71,77,13.47,broken clouds
84,Padilla,CO,3.2204,-76.3139,72.9,83,90,0.38,overcast clouds
85,Babynino,RU,54.39,35.73,29.95,94,100,10.54,overcast clouds
86,Santo Domingo Suchitepequez,GT,14.4667,-91.4833,86.0,43,15,12.03,few clouds
87,Caravelas,BR,-17.7125,-39.2481,79.0,81,7,7.96,clear sky
88,Erenhot,CN,43.6475,111.9767,2.14,87,6,5.93,clear sky
89,Huarmey,PE,-10.0681,-78.1522,74.53,71,29,9.44,scattered clouds
90,Castro,BR,-24.7911,-50.0119,71.58,80,63,2.46,broken clouds
91,Beira,MZ,-19.8436,34.8389,77.09,94,75,9.22,broken clouds
92,Kodiak,US,57.79,-152.4072,36.91,65,0,14.97,clear sky
93,Springbok,ZA,-29.6643,17.8865,75.83,36,16,4.79,few clouds
94,Nueve De Julio,AR,-35.4444,-60.8831,71.71,52,47,10.36,scattered clouds
95,Tari,NG,12.4086,4.4914,75.69,15,0,10.51,clear sky
96,Tuljapur,IN,18.0,76.0833,71.33,28,93,5.53,overcast clouds
97,Shuyskoye,RU,59.3736,41.0305,11.32,96,100,5.7,overcast clouds
98,Ambon,ID,-3.6954,128.1814,77.14,88,40,5.75,scattered clouds
99,Yar-Sale,RU,66.8333,70.8333,-10.95,100,84,7.96,broken clouds
100,Hakodate,JP,41.7758,140.7367,19.38,88,54,6.33,broken clouds
101,Taltal,CL,-25.4,-70.4833,70.65,62,23,4.43,few clouds
102,Mala,PE,-12.6581,-76.6308,73.81,71,66,6.64,broken clouds
103,Acapulco,MX,16.8634,-99.8901,85.82,58,20,12.66,few clouds
104,Iqaluit,CA,63.7506,-68.5145,-34.31,65,61,4.0,broken clouds
105,Tucuman,AR,-26.8241,-65.2226,75.2,60,75,3.44,broken clouds
106,Atuona,PF,-9.8,-139.0333,78.51,74,4,18.21,clear sky
107,Opole Lubelskie,PL,51.1478,21.969,40.8,85,100,19.77,overcast clouds
108,Vaini,TO,-21.2,-175.2,78.12,86,100,29.35,moderate rain
109,Mashhad,IR,36.297,59.6062,32.14,100,100,6.91,overcast clouds
110,Lebu,CL,-37.6167,-73.65,65.19,69,0,13.51,clear sky
111,Horsham,GB,51.064,-0.3272,46.53,67,20,16.11,few clouds
112,Alta Floresta,BR,-9.8756,-56.0861,81.05,88,84,2.33,broken clouds
113,Muzhi,RU,65.3667,64.6667,-22.63,100,93,1.12,overcast clouds
114,San Ramon,US,37.7799,-121.978,67.73,42,0,3.0,clear sky
115,Guerrero Negro,MX,27.9769,-114.0611,68.76,22,0,8.34,clear sky
116,Yellowknife,CA,62.456,-114.3525,-1.59,97,100,11.5,light snow
117,Bredasdorp,ZA,-34.5322,20.0403,67.28,79,0,5.23,clear sky
118,Nadym,RU,65.5333,72.5167,-20.94,100,67,5.5,broken clouds
119,Vyshkov,RU,52.4764,31.6873,30.42,92,100,11.77,overcast clouds
120,Harper,LR,4.375,-7.7169,79.83,81,99,10.56,overcast clouds
121,Kimbe,PG,-5.5502,150.1429,77.65,91,76,2.15,broken clouds
122,Tasiilaq,GL,65.6145,-37.6368,21.36,60,100,41.79,overcast clouds
123,Palmer,US,42.1584,-72.3287,29.64,38,40,3.0,scattered clouds
124,Zhigansk,RU,66.7697,123.3711,-27.29,99,95,6.15,overcast clouds
125,Tepla,CZ,49.98,12.8643,36.88,81,100,19.17,light snow
126,Narsaq,GL,60.9167,-46.05,8.82,82,100,1.63,overcast clouds
127,Iberia,US,29.9502,-91.7507,58.05,35,0,3.44,clear sky
128,Paamiut,GL,61.994,-49.6678,4.68,80,100,11.25,overcast clouds
129,Dumai,ID,1.6833,101.45,72.19,95,100,1.05,overcast clouds
130,Poum,NC,-20.2333,164.0167,80.73,82,100,11.48,overcast clouds
131,Shingu,JP,33.7333,135.9833,38.91,73,25,6.78,scattered clouds
132,Teguldet,RU,57.3064,88.1667,12.06,91,100,5.39,overcast clouds
133,Chinsali,ZM,-10.5414,32.0816,61.39,98,100,2.71,overcast clouds
134,Khatanga,RU,71.9667,102.5,-17.32,98,99,8.72,overcast clouds
135,Wattens,AT,47.2722,11.5993,42.66,76,75,1.01,light snow
136,Pyshma,RU,56.9523,63.2513,5.11,95,100,5.82,overcast clouds
137,Elat,IL,29.5581,34.9482,57.04,44,0,0.0,clear sky
138,Dali,CN,25.7,100.1833,35.01,88,9,3.62,clear sky
139,Dabat,ET,12.9842,37.765,51.48,52,2,2.91,clear sky
140,Butaritari,KI,3.0707,172.7902,81.79,76,43,16.33,scattered clouds
141,Yerbogachen,RU,61.2767,108.0108,-9.51,100,99,1.88,overcast clouds
142,Olafsvik,IS,64.8945,-23.7142,28.15,72,100,20.45,overcast clouds
143,Pevek,RU,69.7008,170.3133,-24.14,99,24,1.07,few clouds
144,Navalmoral De La Mata,ES,39.8916,-5.5406,49.96,61,2,2.84,clear sky
145,Mana,GF,5.6592,-53.7767,78.76,83,99,7.92,overcast clouds
146,Paulesti,RO,45.0,25.9833,37.85,55,79,4.88,broken clouds
147,Hithadhoo,MV,-0.6,73.0833,82.15,72,25,13.2,scattered clouds
148,Klaksvik,FO,62.2266,-6.589,34.72,55,90,37.42,overcast clouds
149,Bathsheba,BB,13.2167,-59.5167,78.78,77,76,14.45,broken clouds
150,Tessalit,ML,20.1986,1.0114,67.91,11,0,7.83,clear sky
151,Kaitangata,NZ,-46.2817,169.8464,56.93,72,3,2.13,clear sky
152,Mahebourg,MU,-20.4081,57.7,78.26,82,82,11.45,broken clouds
153,Dong Hoi,VN,17.4833,106.6,65.97,90,97,2.77,overcast clouds
154,Cam Ranh,VN,11.9214,109.1591,71.56,88,75,4.61,broken clouds
155,Pandan,PH,14.0453,124.1694,76.84,86,88,15.14,overcast clouds
156,Carnarvon,AU,-24.8667,113.6333,72.18,65,14,23.15,few clouds
157,Richards Bay,ZA,-28.783,32.0377,71.15,92,35,1.86,light rain
158,Adamas,GR,36.7333,24.4333,56.32,62,16,2.71,few clouds
159,Aanekoski,FI,62.6946,25.818,32.07,100,100,7.54,overcast clouds
160,Slavgorod,RU,52.9978,78.6449,-2.92,95,10,5.35,clear sky
161,Isangel,VU,-19.55,169.2667,79.84,91,100,14.07,overcast clouds
162,Juneau,US,58.3019,-134.4197,41.22,96,100,4.0,light rain
163,El Alto,PE,-4.2714,-81.2147,76.66,70,31,13.0,scattered clouds
164,Gat,IL,31.61,34.7642,54.91,100,9,7.81,clear sky
165,Port Elizabeth,ZA,-33.918,25.5701,77.09,76,100,1.41,overcast clouds
166,Saint Anthony,US,45.0205,-93.218,19.83,67,100,5.99,overcast clouds
167,Ancud,CL,-41.8697,-73.8203,73.22,68,8,7.45,clear sky
168,Holme,DK,56.1138,10.1725,33.66,92,91,13.09,overcast clouds
169,Nantucket,US,41.2835,-70.0995,31.14,69,100,6.31,overcast clouds
170,Ouesso,CG,1.6136,16.0517,73.15,30,46,0.81,scattered clouds
171,Beibei,CN,29.8256,106.4339,44.37,91,100,1.83,overcast clouds
172,Jamui,IN,24.9167,86.2167,55.45,76,5,2.91,clear sky
173,Verkhoyansk,RU,67.5447,133.385,-30.51,96,100,1.3,overcast clouds
174,Torit,SS,4.4133,32.5678,79.59,24,100,2.06,overcast clouds
175,Chapais,CA,49.7834,-74.8492,6.58,94,100,9.55,light snow
176,Faya,SA,18.3851,42.4509,52.32,72,3,1.81,clear sky
177,Itarema,BR,-2.9248,-39.9167,80.58,75,79,12.21,broken clouds
178,Nea Stira,GR,38.1833,24.2,54.77,72,6,5.03,clear sky
179,Itoman,JP,26.1247,127.6694,59.02,55,90,9.22,overcast clouds
180,Nishihara,JP,26.1842,127.7558,58.28,57,100,9.22,overcast clouds
181,Longyearbyen,SJ,78.2186,15.6401,19.24,63,20,12.66,few clouds
182,Saint-Joseph,RE,-21.3667,55.6167,77.38,78,99,9.64,overcast clouds
183,Mount Gambier,AU,-37.8333,140.7667,62.94,51,0,4.94,clear sky
184,Saint-Philippe,RE,-21.3585,55.7679,78.39,81,100,13.85,overcast clouds
185,Kallifitos,GR,41.1667,24.2167,39.85,81,6,3.53,clear sky
186,Tuatapere,NZ,-46.1333,167.6833,54.82,62,2,3.49,clear sky
187,Jieshi,CN,22.8134,115.8257,58.95,83,100,19.42,overcast clouds
188,Kikwit,CD,-5.041,18.8162,72.72,91,100,0.94,overcast clouds
189,Carballo,ES,43.213,-8.691,51.51,94,70,1.72,broken clouds
190,Diego De Almagro,CL,-26.3667,-70.05,81.27,15,0,13.8,clear sky
191,Wellington,NZ,-41.2866,174.7756,62.06,74,100,5.99,overcast clouds
192,Imuris,MX,30.7833,-110.8667,66.87,18,0,7.05,clear sky
193,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,69,0,13.8,clear sky
194,Tahe,CN,52.3333,124.7333,-11.61,98,63,3.56,broken clouds
195,Hobyo,SO,5.3505,48.5268,76.39,70,58,17.07,broken clouds
196,Lata,PT,40.1629,-8.3327,52.81,65,35,3.49,scattered clouds
197,Pavino,RU,59.1139,46.1414,16.2,92,100,3.09,overcast clouds
198,Treinta Y Tres,UY,-33.2333,-54.3833,73.24,35,6,17.67,clear sky
199,Port Macquarie,AU,-31.4333,152.9167,67.89,75,88,14.16,overcast clouds
200,Quthing,LS,-30.4,27.7003,65.68,64,50,3.58,scattered clouds
201,Chokurdakh,RU,70.6333,147.9167,-39.98,100,88,2.71,overcast clouds
202,Aksarka,RU,66.5606,67.7975,-16.35,100,90,6.49,overcast clouds
203,Nhulunbuy,AU,-12.2333,136.7667,75.81,94,100,1.14,overcast clouds
204,Turbat,PK,26.0023,63.044,67.35,86,0,2.89,light rain
205,Bethel,US,41.3712,-73.414,30.29,58,0,3.44,clear sky
206,Monrovia,LR,6.3005,-10.7969,76.77,82,5,9.01,clear sky
207,Itaituba,BR,-4.2761,-55.9836,86.16,74,20,5.75,few clouds
208,Susehri,TR,40.1644,38.0867,16.48,87,90,0.54,overcast clouds
209,Cabo San Lucas,MX,22.8909,-109.9124,74.61,59,0,3.0,clear sky
210,Esperance,AU,-33.8667,121.9,63.39,59,84,25.72,broken clouds
211,Komatipoort,ZA,-25.4332,31.9548,72.05,92,40,7.85,scattered clouds
212,Talnakh,RU,69.4865,88.3972,-27.58,99,55,1.16,broken clouds
213,Mar Del Plata,AR,-38.0023,-57.5575,69.1,82,100,5.01,overcast clouds
214,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,80.17,91,96,1.61,overcast clouds
215,Arlington,US,32.7357,-97.1081,57.81,36,0,5.01,clear sky
216,Buerarema,BR,-14.9594,-39.2997,82.99,93,82,2.28,broken clouds
217,Antalaha,MG,-14.9003,50.2788,76.84,85,100,1.97,overcast clouds
218,Diffa,NE,13.3154,12.6113,66.56,23,0,9.06,clear sky
219,Severo-Kurilsk,RU,50.6789,156.125,29.71,85,100,15.1,light snow
220,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,35,0,13.8,clear sky
221,Bundaberg,AU,-24.85,152.35,66.22,92,75,5.01,broken clouds
222,Matay,EG,28.419,30.7792,54.7,47,0,6.85,clear sky
223,Pompeia,BR,-22.1086,-50.1717,76.71,82,78,5.93,broken clouds
224,Aguimes,ES,27.9054,-15.4461,63.66,82,20,17.27,few clouds
225,Canto Do Buriti,BR,-8.11,-42.9444,81.84,68,79,5.66,broken clouds
226,Auriflama,BR,-20.6856,-50.5547,77.67,87,73,5.23,moderate rain
227,Bucak,TR,37.4592,30.595,35.64,72,0,5.01,clear sky
228,Champerico,GT,14.3,-91.9167,88.29,59,8,11.12,clear sky
229,Cienfuegos,CU,22.1461,-80.4356,79.61,61,90,4.38,overcast clouds
230,Lasa,IT,46.6166,10.7002,38.14,66,100,5.35,overcast clouds
231,Flinders,AU,-34.5833,150.8552,67.8,91,92,8.01,light rain
232,Sonoita,MX,31.85,-112.8333,69.53,10,0,10.65,clear sky
233,Cockburn Town,TC,21.4612,-71.1419,75.81,69,1,14.97,clear sky
234,Hovd,MN,48.0056,91.6419,-14.22,73,14,3.65,few clouds
235,Jablah,SY,35.3614,35.9256,53.89,82,75,5.75,broken clouds
236,Yairipok,IN,24.6667,94.0667,41.16,91,0,0.96,clear sky
237,Salalah,OM,17.0151,54.0924,78.89,41,0,6.91,clear sky
238,Lompoc,US,34.6391,-120.4579,81.1,26,0,9.22,clear sky
239,Gamba,GA,-2.65,10.0,77.0,87,35,5.32,scattered clouds
240,Quatre Cocos,MU,-20.2078,57.7625,78.91,83,91,10.13,overcast clouds
241,Bacolod,PH,10.6667,122.95,74.84,85,97,10.8,overcast clouds
242,Douglas,US,41.3,-96.167,42.98,42,0,4.0,clear sky
243,Havre-Saint-Pierre,CA,50.2334,-63.5986,6.8,55,0,13.8,clear sky
244,Herat,AF,34.5,62.0,39.96,75,2,0.56,clear sky
245,Taman,RU,45.2117,36.7161,37.35,75,44,11.32,scattered clouds
246,Kuji,JP,40.1878,141.7689,25.79,72,11,13.89,few clouds
247,Port Hardy,CA,50.6996,-127.4199,46.76,76,100,21.85,overcast clouds
248,Omsukchan,RU,62.5333,155.8,-16.22,68,1,2.51,clear sky
249,Medea,DZ,36.2642,2.7539,39.65,90,40,2.53,scattered clouds
250,Ucluelet,CA,48.9329,-125.5528,48.09,87,74,3.0,broken clouds
251,Trofors,NO,65.5333,13.4063,31.35,96,81,4.41,broken clouds
252,Belmonte,BR,-15.8631,-38.8828,82.9,78,10,8.37,clear sky
253,Inverell,AU,-29.7833,151.1167,61.66,80,0,1.99,clear sky
254,Half Moon Bay,US,37.4636,-122.4286,70.9,58,0,13.8,clear sky
255,Amahai,ID,-3.3333,128.9167,77.79,84,90,4.92,light rain
256,Det Udom,TH,14.906,105.0784,76.24,65,72,2.17,broken clouds
257,Waipawa,NZ,-41.4122,175.5153,59.45,77,100,12.8,overcast clouds
258,Byron Bay,AU,-28.65,153.6167,71.06,74,100,14.74,overcast clouds
259,Haines Junction,CA,60.7522,-137.5108,39.15,48,100,19.57,overcast clouds
260,Horki,BY,54.2861,30.9842,30.09,96,100,16.67,snow
261,Nizhniy Tsasuchey,RU,50.5167,115.1333,1.85,94,39,6.82,scattered clouds
262,Coruripe,BR,-10.1256,-36.1756,80.49,75,1,13.29,clear sky
263,Joetsu,JP,37.1483,138.2364,27.72,77,100,14.85,light snow
264,Sturgeon Bay,US,44.8342,-87.377,32.85,93,100,0.0,mist
265,Kununurra,AU,-15.7667,128.7333,75.18,100,75,8.05,broken clouds
266,Pingliang,CN,35.5392,106.6861,6.06,92,60,5.64,broken clouds
