City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Cairns,AU,76.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
279,Manokwari,ID,77.77,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
287,Porto Seguro,BR,82.92,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
297,Namatanai,PG,80.69,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
300,Vao,NC,80.19,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
305,Kirakira,SB,82.94,overcast clouds,-10.4544,161.9205,SanBiz Lodge
308,Port-Gentil,GA,80.19,scattered clouds,-0.7193,8.7815,Fengshui Residence
310,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
313,Georgetown,MY,78.75,scattered clouds,5.4112,100.3354,Cititel Penang
320,Labrea,BR,82.45,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
330,Sao Jose Da Coroa Grande,BR,80.35,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
331,Lorengau,PG,80.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
334,Vila Velha,BR,80.94,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
335,Trelew,AR,78.66,clear sky,-43.249,-65.3051,Hotel Touring Club
339,Valdivia,CL,86.09,clear sky,-39.8142,-73.2459,Hostal Entre Rios
347,Popondetta,PG,75.4,moderate rain,-8.7537,148.2534,Timos Transit House
354,Garissa,KE,82.11,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
359,Luanda,AO,75.78,overcast clouds,-8.8368,13.2343,Hotel Fórum
360,Owando,CG,75.94,scattered clouds,-0.4819,15.8999,Exaunel Hotel Owando
361,Port Moresby,PG,76.5,heavy intensity rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
362,Sola,VU,82.6,moderate rain,-13.8833,167.55,Leumerus Bungalows
364,Maragogi,BR,80.17,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
372,Isabela,PH,78.85,overcast clouds,6.7085,121.9711,Isawad Resort
373,Kieta,PG,81.16,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
375,Gizo,SB,83.3,light rain,-8.103,156.8419,Imagination Island
379,Vanimo,PG,77.95,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
382,Manavalakurichi,IN,78.89,broken clouds,8.1333,77.3,Jebinrio home
389,Port Hedland,AU,80.65,thunderstorm with heavy rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
390,Benguela,AO,76.26,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
393,Gaoual,GN,82.98,clear sky,11.75,-13.2,Hotel koliba
398,The Valley,AI,77.14,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
403,Redlands,US,78.73,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
405,Cabinda,AO,77.38,broken clouds,-5.55,12.2,Hotel Maiombe
407,Palora,EC,76.98,light rain,-1.7,-77.9333,Rancho grande
409,Iracoubo,GF,78.87,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
413,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
419,Kalmunai,LK,75.27,overcast clouds,7.4167,81.8167,VS Villa
422,Kolondieba,ML,78.89,clear sky,11.0882,-6.8926,Hotel Dakan
424,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
427,Dhali,IN,75.25,broken clouds,10.5,77.1667,கனகு பார்ம்ஸ்
428,Yenagoa,NG,79.9,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
430,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
431,Acajutla,SV,87.8,scattered clouds,13.5928,-89.8275,Laureles
439,Balikpapan,ID,77.99,scattered clouds,-1.2675,116.8289,ibis Balikpapan
442,Santa Isabel Do Rio Negro,BR,80.2,moderate rain,-0.4139,-65.0192,Hotel GSA
443,Nabire,ID,76.17,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
444,Robertsport,LR,80.67,clear sky,6.7533,-11.3686,Kwepunha Retreat
446,Muli,MV,81.54,broken clouds,2.9167,73.5667,Medhufushi Island Resort
452,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
456,Boyolangu,ID,75.13,overcast clouds,-8.1181,111.8935,Yos ega cv
457,Morondava,MG,80.56,moderate rain,-20.2833,44.2833,La Case Bambou
465,Katobu,ID,75.11,scattered clouds,-4.9408,122.5276,La Ode Husein
470,Sorong,ID,79.79,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
477,Totness,SR,79.63,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
479,Itatiba,BR,79.32,overcast clouds,-23.0058,-46.8389,Hotel Orion
480,Tecoanapa,MX,85.39,scattered clouds,16.5167,-98.75,Hotel Manglares
484,Cordoba,AR,79.41,few clouds,-31.4135,-64.1811,Hotel Sussex
490,Banda Aceh,ID,76.39,overcast clouds,5.5577,95.3222,Sulthan Hotel International
496,Mahibadhoo,MV,81.39,few clouds,3.7833,72.9667,Omadhoo Inn
497,Basoko,CD,75.4,overcast clouds,1.2391,23.616,Jackyna Hotel
505,Bac Lieu,VN,78.46,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
510,Urucara,BR,77.88,heavy intensity rain,-2.5364,-57.76,Pousada Maria Bonita
512,Vilhena,BR,75.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
519,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
522,Manat,PH,75.81,broken clouds,7.5327,126.0173,Junora Inland Resort
523,Samarai,PG,81.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
527,Atar,MR,75.09,clear sky,20.5169,-13.0499,Oumou Elghoura
531,Biak,ID,75.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
532,Bubaque,GW,77.67,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
542,Miandrivazo,MG,76.95,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
567,Jega,NG,76.19,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
569,Cururupu,BR,78.22,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
570,Moyobamba,PE,75.16,overcast clouds,-6.05,-76.9667,Hospedaje Mariluna
572,Barahona,DO,84.02,broken clouds,18.2085,-71.1008,Hotel Caribe
575,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
588,Mbandaka,CD,77.04,clear sky,0.0487,18.2603,Guest House Epervier
594,Bondoukou,CI,80.6,clear sky,8.0333,-2.8,Prestige Hotel
595,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
596,Santa Clarita,US,79.52,clear sky,34.3917,-118.5426,Hyatt Regency Valencia
597,Whithorn,JM,79.86,scattered clouds,18.2604,-78.0378,Sunset Heal
600,Oussouye,SN,78.98,clear sky,12.485,-16.5469,Auberge du Routard
610,Kattivakkam,IN,79.07,overcast clouds,13.2167,80.3167,Euronova Freezer
614,Grand-Lahou,CI,80.6,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
617,Makakilo City,US,79.12,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
618,San Juan,AR,82.62,clear sky,-31.5375,-68.5364,Hotel Provincial
619,Goya,AR,85.75,clear sky,-29.14,-59.2626,Apart Costanera Goya
620,Palmares Do Sul,BR,75.94,clear sky,-30.2578,-50.5097,Hotel Campos Dourados.
624,Vaitape,PF,81.57,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
625,Palmas,BR,80.47,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
634,Mariel,CU,84.34,light rain,22.9875,-82.7536,Casa De Alojamiento Marilda
640,Alyangula,AU,75.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
644,Coihaique,CL,84.81,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
